Series Name Series Code	Country Name	Country Code	1996 [YR1996]	1998 [YR1998]	2000 [YR2000]	2002 [YR2002]	2003 [YR2003]	2004 [YR2004]	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]
Government Effectiveness: Estimate	GE.EST	Angola	AGO	-0.835242509841919	-1.36405444145203	-1.46161532402039	-1.25417792797089	-1.13841927051544	-1.28460001945496	-1.16884434223175	-1.36832141876221	-1.24032616615295	-1.06706321239471	-0.974587619304657	-1.12829649448395	-1.14778923988342	-1.02326965332031	-1.24033904075623	-1.14691305160522
Government Effectiveness: Estimate	GE.EST	Benin	BEN	-0.408373117446899	-0.267228901386261	-0.266056954860687	-0.383603364229202	-0.331420004367828	-0.361429542303085	-0.624811351299286	-0.566871881484985	-0.514258503913879	-0.454811900854111	-0.556142628192902	-0.578227400779724	-0.522161364555359	-0.526492238044739	-0.541101515293121	-0.498997539281845
Government Effectiveness: Estimate	GE.EST	Botswana	BWA	0.465284883975983	0.499256104230881	0.510248184204102	0.593271195888519	0.727241158485413	0.639593064785004	0.658906579017639	0.519679129123688	0.591063916683197	0.558945953845978	0.482993274927139	0.463565230369568	0.479576647281647	0.447382807731628	0.368277758359909	0.321319609880447
Government Effectiveness: Estimate	GE.EST	Burkina Faso	BFA	-1.0230165719986	-0.749521911144257	-0.621731400489807	-0.718997776508331	-0.620392441749573	-0.525333285331726	-0.595501244068146	-0.743096172809601	-0.728018999099731	-0.466058701276779	-0.582956612110138	-0.560765027999878	-0.543046593666077	-0.63036721944809	-0.680861949920654	-0.558241128921509
Government Effectiveness: Estimate	GE.EST	Burundi	BDI	-1.72685706615448	-1.65561258792877	-1.44269251823425	-1.44533467292786	-1.47085809707642	-1.31391108036041	-1.26007616519928	-1.0844954252243	-1.23513698577881	-1.09433174133301	-1.02941012382507	-1.10040652751923	-1.05351114273071	-1.31159687042236	-1.03008759021759	-1.0943067073822
Government Effectiveness: Estimate	GE.EST	Cabo Verde	CPV	..	0.347877889871597	0.302252858877182	-0.115616105496883	-0.0998234301805496	-0.0698425248265266	-0.226647973060608	0.101071164011955	0.341495662927628	0.0551499091088772	0.0351154841482639	-0.0207794904708862	0.155441924929619	0.10334213078022	0.058065552264452	-0.00553526217117906
Government Effectiveness: Estimate	GE.EST	Cameroon	CMR	-1.00145363807678	-0.73753559589386	-0.674027323722839	-0.818115770816803	-0.653443515300751	-0.69789057970047	-0.880549073219299	-0.929444313049316	-0.82628208398819	-0.785223782062531	-0.818573892116547	-0.875054717063904	-0.876130700111389	-0.90402740240097	-0.909976840019226	-0.741300761699677
Government Effectiveness: Estimate	GE.EST	Central African Republic	CAF	-1.46316027641296	-1.31138479709625	-1.37769854068756	-1.62127304077148	-1.5664404630661	-1.56199431419373	-1.59588778018951	-1.41062915325165	-1.44484436511993	-1.39840590953827	-1.42257857322693	-1.3902735710144	-1.27801167964935	-1.46189498901367	-1.65024101734161	-1.84076488018036
Government Effectiveness: Estimate	GE.EST	Chad	TCD	-0.672069907188416	-0.631713807582855	-0.75764411687851	-0.907970786094666	-1.06041634082794	-1.12083888053894	-1.34903180599213	-1.4424512386322	-1.59255886077881	-1.53957259654999	-1.42311692237854	-1.44544756412506	-1.34894680976868	-1.4927726984024	-1.42473995685577	-1.47953820228577
Government Effectiveness: Estimate	GE.EST	Comoros	COM	-1.72685706615448	-1.65561258792877	-1.24833607673645	-0.869557738304138	-1.36979758739471	-1.58244693279266	-1.63772225379944	-1.68497776985168	-1.75158095359802	-1.77236437797546	-1.77375996112823	-1.74064934253693	-1.75329232215881	-1.54572415351868	-1.56903100013733	-1.66596710681915
Government Effectiveness: Estimate	GE.EST	Congo, Dem. Rep.	ZAR	-1.68693518638611	-1.97405517101288	-1.96063697338104	-1.74178981781006	-1.61375749111176	-1.44786489009857	-1.58917081356049	-1.65270960330963	-1.76888477802277	-1.67277467250824	-1.70518326759338	-1.73494100570679	-1.67345023155212	-1.65863025188446	-1.44279682636261	-1.59422886371613
Government Effectiveness: Estimate	GE.EST	Congo, Rep.	COG	-1.24432277679443	-1.18911898136139	-1.32071459293365	-1.3074563741684	-1.31389474868774	-1.11615169048309	-1.28016233444214	-1.28987419605255	-1.33500075340271	-1.22408437728882	-1.23501443862915	-1.23398840427399	-1.19673776626587	-1.20171415805817	-1.20927286148071	-1.14613842964172
Government Effectiveness: Estimate	GE.EST	Cote d'Ivoire	CIV	-0.0591650642454624	-0.207410618662834	-0.878007352352142	-0.937938690185547	-1.02295172214508	-1.26681160926819	-1.33938074111938	-1.17463111877441	-1.20966362953186	-1.21438944339752	-1.08144402503967	-1.26028752326965	-1.12506651878357	-1.11058342456818	-0.979258239269257	-0.783942461013794
Government Effectiveness: Estimate	GE.EST	Equatorial Guinea	GNQ	-1.0662579536438	-1.4558299779892	-1.51201272010803	-1.3461446762085	-1.24457776546478	-1.46283900737762	-1.45484519004822	-1.59735333919525	-1.6744157075882	-1.66910707950592	-1.72224700450897	-1.68852972984314	-1.63477039337158	-1.64957416057587	-1.58564341068268	-1.44789373874664
