Series Name Series Code	Country Name	Country Code	1996 [YR1996]	1998 [YR1998]	2000 [YR2000]	2002 [YR2002]	2003 [YR2003]	2004 [YR2004]	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]
Rule of Law: Estimate	RL.EST	Angola	AGO	-1.63345789909363	-1.69928050041199	-1.63314819335938	-1.60587275028229	-1.52979528903961	-1.45906150341034	-1.44270539283752	-1.29697048664093	-1.3959321975708	-1.39686572551727	-1.24046850204468	-1.25579440593719	-1.24786984920502	-1.27635216712952	-1.2796196937561	-1.09655404090881
Rule of Law: Estimate	RL.EST	Benin	BEN	-0.188955321907997	-0.135049849748611	-0.265280604362488	-0.344228714704514	-0.518815696239471	-0.590088248252869	-0.591008484363556	-0.566025614738464	-0.55109828710556	-0.56779557466507	-0.673347949981689	-0.700698554515839	-0.707195341587067	-0.635561108589172	-0.626097977161407	-0.549865663051605
Rule of Law: Estimate	RL.EST	Botswana	BWA	0.502153337001801	0.584338247776031	0.530090570449829	0.50218391418457	0.668330013751984	0.635057330131531	0.603888213634491	0.580817103385925	0.612609326839447	0.659514546394348	0.654872953891754	0.66620796918869	0.657603800296783	0.653665840625763	0.585473418235779	0.634595513343811
Rule of Law: Estimate	RL.EST	Burkina Faso	BFA	-1.02789628505707	-0.845336556434631	-0.670578598976135	-0.682326972484589	-0.563869118690491	-0.562346816062927	-0.512441039085388	-0.417021900415421	-0.398984104394913	-0.33979794383049	-0.195299670100212	-0.183458745479584	-0.366199761629105	-0.430946916341782	-0.522480070590973	-0.533324122428894
Rule of Law: Estimate	RL.EST	Burundi	BDI	-1.7184956073761	-1.48169422149658	-1.56006181240082	-1.38567042350769	-1.53714823722839	-1.59778416156769	-1.18457663059235	-0.97469300031662	-1.08928096294403	-1.04637038707733	-1.16434371471405	-1.19034886360168	-1.11690890789032	-1.07855141162872	-1.04626572132111	-0.933799624443054
Rule of Law: Estimate	RL.EST	Cabo Verde	CPV	0.774557411670685	0.637639403343201	0.629834830760956	0.188531294465065	0.141137063503265	0.27448958158493	0.309484601020813	0.571690320968628	0.555573523044586	0.510434448719025	0.481189221143723	0.424753874540329	0.47463595867157	0.474606186151505	0.475824385881424	0.574655473232269
Rule of Law: Estimate	RL.EST	Cameroon	CMR	-1.47394692897797	-1.11522912979126	-1.22917783260345	-1.24931240081787	-1.09293842315674	-1.19535779953003	-1.1806982755661	-1.13079345226288	-1.16747033596039	-1.09439659118652	-1.11527729034424	-1.05231285095215	-1.06162691116333	-1.03900170326233	-1.05103850364685	-0.871018528938293
Rule of Law: Estimate	RL.EST	Central African Republic	CAF	-1.50328063964844	-1.46128022670746	-1.49738931655884	-1.13303136825562	-1.57344186306	-1.6329197883606	-1.48142874240875	-1.48996102809906	-1.52652764320374	-1.43937933444977	-1.32068121433258	-1.29392921924591	-1.27212142944336	-1.44555759429932	-1.83426403999329	-1.73297548294067
Rule of Law: Estimate	RL.EST	Chad	TCD	-1.1567462682724	-1.13793730735779	-1.03183448314667	-0.996444404125214	-1.30850338935852	-1.33964622020721	-1.45286738872528	-1.50879907608032	-1.5060201883316	-1.59648728370667	-1.49320209026337	-1.48022639751434	-1.44970440864563	-1.45358622074127	-1.37248742580414	-1.11622142791748
Rule of Law: Estimate	RL.EST	Comoros	COM	-1.05202782154083	-1.23200130462646	-1.38207530975342	-1.04402613639832	-0.972925245761871	-1.05945670604706	-1.02767789363861	-0.98237407207489	-1.03283047676086	-1.06967532634735	-1.15160942077637	-1.05792629718781	-1.00350284576416	-1.03416836261749	-0.986018180847168	-0.935984253883362
