Series Name Series Code	Country Name	Country Code	1996 [YR1996]	1998 [YR1998]	2000 [YR2000]	2002 [YR2002]	2003 [YR2003]	2004 [YR2004]	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]
Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	Angola	AGO	-2.10554718971252	-2.34520602226257	-2.0854606628418	-1.61517918109894	-1.02709352970123	-1.03920745849609	-0.893931925296783	-0.540907263755798	-0.696600735187531	-0.349961519241333	-0.369803935289383	-0.216324865818024	-0.360322207212448	-0.380921721458435	-0.385451436042786	-0.273348599672318
Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	Benin	BEN	0.960007131099701	0.661969006061554	0.720592319965363	0.740132212638855	0.666792571544647	0.257207989692688	0.450789600610733	0.517111957073212	0.333819270133972	0.333919912576675	0.375290125608444	0.222299322485924	0.2933429479599	0.319024264812469	0.260614424943924	0.0495711229741573
Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	Botswana	BWA	0.923111259937286	0.873864591121674	0.955815434455872	0.791590750217438	1.07829761505127	0.887640833854675	1.05623316764832	0.963136434555054	0.98290342092514	0.984753847122192	0.931979238986969	0.960707545280457	1.05053567886353	1.08013033866882	1.08115077018738	1.02189004421234
Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	Burkina Faso	BFA	-0.414000004529953	-0.20007286965847	-0.0131576051935554	-0.367371678352356	0.0355284810066223	-0.106681473553181	-0.0751308649778366	0.146304398775101	0.286871403455734	0.096509613096714	0.0149903604760766	-0.147422716021538	-0.581673979759216	-0.586723923683167	-0.795505404472351	-0.78761887550354
Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	Burundi	BDI	-2.24305176734924	-2.42883658409119	-2.15137028694153	-2.39139842987061	-2.30567073822021	-2.51382756233215	-1.51464486122131	-1.3966498374939	-1.31706809997559	-1.63129234313965	-1.26757144927979	-1.5960978269577	-1.78485333919525	-1.68539786338806	-1.31016135215759	-0.89365690946579
Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	Cabo Verde	CPV	0.944107830524445	1.02651572227478	1.12241804599762	0.655576229095459	0.907076597213745	1.06760215759277	0.781964123249054	0.967625319957733	0.901236534118652	0.828095972537994	0.842547595500946	0.857144117355347	0.723417043685913	0.809150874614716	0.77359414100647	0.407537847757339
Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	Cameroon	CMR	-1.06571471691132	-0.824816882610321	-0.566852390766144	-0.722113728523254	-0.470079630613327	-0.39775624871254	-0.176222756505013	-0.263517498970032	-0.337433755397797	-0.550778567790985	-0.482048451900482	-0.726856529712677	-0.661322891712189	-0.576565444469452	-0.53007847070694	-0.944601476192474
Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	Central African Republic	CAF	-1.37248337268829	-1.29075598716736	-1.29687166213989	-1.88406229019165	-1.59047079086304	-1.40935385227203	-1.42369174957275	-1.83942544460297	-1.82965362071991	-1.83009743690491	-1.88270854949951	-2.01191091537476	-1.78492426872253	-1.87196457386017	-2.17964196205139	-2.67260909080505
Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	Chad	TCD	-1.09816145896912	-1.40978932380676	-1.24873101711273	-1.69930744171143	-1.41347503662109	-1.49543750286102	-1.39323151111603	-1.80965769290924	-1.85999059677124	-1.97042727470398	-1.68920004367828	-1.51228809356689	-1.31507110595703	-1.05672466754913	-1.10343217849731	-1.53338587284088
Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	Comoros	COM	0.375238299369812	0.44733402132988	-0.106957741081715	0.254781246185303	-0.715081512928009	-0.129801794886589	-0.388051629066467	-0.31494066119194	-1.05971395969391	-1.08345782756805	-0.747228264808655	-0.495846390724182	-0.484804689884186	-0.38106569647789	-0.187545135617256	-0.194327488541603
Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	Congo, Dem. Rep.	ZAR	-2.83376336097717	-2.99474930763245	-2.58555269241333	-2.0983898639679	-2.08323192596436	-2.38808965682983	-2.17056918144226	-2.27308773994446	-2.21337747573853	-2.02809858322144	-1.98732793331146	-2.22715163230896	-2.23691082000732	-2.13675355911255	-2.23328995704651	-2.27385330200195
Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	Congo, Rep.	COG	-1.36520218849182	-1.60277497768402	-1.03433704376221	-1.66347193717957	-1.19617927074432	-1.14148306846619	-1.15719699859619	-0.942248404026031	-0.76149308681488	-0.709562242031097	-0.277446955442429	-0.33049750328064	-0.36169421672821	-0.492337822914124	-0.481263160705566	-0.288736760616302
Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	Cote d'Ivoire	CIV	0.0109175564721227	-0.259929955005646	-1.32343983650208	-1.9890433549881	-1.84487402439117	-2.15657186508179	-2.30272054672241	-1.89302849769592	-1.88942587375641	-1.82416749000549	-1.28476572036743	-1.56586754322052	-1.40458416938782	-1.25646567344666	-1.02469193935394	-1.01392209529877
Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	Equatorial Guinea	GNQ	-0.237621709704399	-0.216439068317413	-0.177711918950081	-0.596794068813324	0.05439767614007	-0.108192130923271	-0.450969278812408	0.130687907338142	0.21189458668232	0.19259837269783	0.38652640581131	0.232970520853996	0.118094369769096	0.187061354517937	0.0765898674726486	-0.389737725257874
Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	Eritrea	ERI	-1.1137775182724	-1.1239218711853	-0.968781888484955	-0.410674333572388	-0.757954955101013	-0.604643583297729	-0.780345261096954	-0.898362636566162	-1.02328896522522	-0.706264555454254	-0.665033996105194	-0.871544241905212	-0.766897737979889	-0.715202212333679	-0.775558412075043	-0.75910472869873
Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	Ethiopia	ETH	-1.09739768505096	-0.723272264003754	-1.006751537323	-1.28300523757935	-1.42950809001923	-1.2675529718399	-1.65588021278381	-1.7075662612915	-1.75823545455933	-1.70789396762848	-1.62060046195984	-1.61553227901459	-1.49553692340851	-1.5374356508255	-1.37763357162476	-1.23994088172913
Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	Gabon	GAB	-0.0253483802080154	0.176161885261536	0.501017153263092	0.31184321641922	0.250925689935684	0.382899016141891	0.313978433609009	0.181107193231583	0.273182660341263	0.241782873868942	0.124812476336956	0.297931671142578	0.387033611536026	0.307101875543594	0.340913206338882	0.196385622024536
Political Stability and Absence of Violence/Terrorism: Estimate	PV.EST	Gambia, The	GMB	0.471681475639343	0.591187298297882	0.45061257481575	0.724422752857208	0.31693896651268	0.214309275150299	0.249528542160988	-0.0155031196773052	0.0641421750187874	0.0801156759262085	0.143735781311989	0.0797288864850998	0.00670380005612969	0.00142556487116963	-0.0477853454649448	-0.101983927190304
