indicator,country,year,value,region
Control of Corruption: Estimate,Angola,1996,-1.15809834,Central
Control of Corruption: Estimate,Angola,1998,-1.318856239,Central
Control of Corruption: Estimate,Angola,2000,-1.516697884,Central
Control of Corruption: Estimate,Angola,2002,-1.136933327,Central
Control of Corruption: Estimate,Angola,2003,-1.303789735,Central
Control of Corruption: Estimate,Angola,2004,-1.281113744,Central
Control of Corruption: Estimate,Angola,2005,-1.331654906,Central
Control of Corruption: Estimate,Angola,2006,-1.227777839,Central
Control of Corruption: Estimate,Angola,2007,-1.320408344,Central
Control of Corruption: Estimate,Angola,2008,-1.283269048,Central
Control of Corruption: Estimate,Angola,2009,-1.417586088,Central
Control of Corruption: Estimate,Angola,2010,-1.319217563,Central
Control of Corruption: Estimate,Angola,2011,-1.337880015,Central
Control of Corruption: Estimate,Angola,2012,-1.29587853,Central
Control of Corruption: Estimate,Angola,2013,-1.325143218,Central
Control of Corruption: Estimate,Angola,2014,-1.452597737,Central
Control of Corruption: Estimate,Benin,1996,-0.930731416,Western
Control of Corruption: Estimate,Benin,1998,-0.59970516,Western
Control of Corruption: Estimate,Benin,2000,-0.49276942,Western
Control of Corruption: Estimate,Benin,2002,-0.792009234,Western
Control of Corruption: Estimate,Benin,2003,-0.56892395,Western
Control of Corruption: Estimate,Benin,2004,-0.493639767,Western
Control of Corruption: Estimate,Benin,2005,-0.970942497,Western
Control of Corruption: Estimate,Benin,2006,-0.616738021,Western
Control of Corruption: Estimate,Benin,2007,-0.473546594,Western
Control of Corruption: Estimate,Benin,2008,-0.53126967,Western
Control of Corruption: Estimate,Benin,2009,-0.672711611,Western
Control of Corruption: Estimate,Benin,2010,-0.737614274,Western
Control of Corruption: Estimate,Benin,2011,-0.642196357,Western
Control of Corruption: Estimate,Benin,2012,-0.932404459,Western
Control of Corruption: Estimate,Benin,2013,-0.834388018,Western
Control of Corruption: Estimate,Benin,2014,-0.780429363,Western
Control of Corruption: Estimate,Botswana,1996,0.585982561,Southern
Control of Corruption: Estimate,Botswana,1998,0.705786228,Southern
Control of Corruption: Estimate,Botswana,2000,0.66622442,Southern
Control of Corruption: Estimate,Botswana,2002,0.606008172,Southern
Control of Corruption: Estimate,Botswana,2003,1.24967134,Southern
Control of Corruption: Estimate,Botswana,2004,0.879445016,Southern
Control of Corruption: Estimate,Botswana,2005,1.141266823,Southern
Control of Corruption: Estimate,Botswana,2006,0.895547032,Southern
Control of Corruption: Estimate,Botswana,2007,0.941658497,Southern
Control of Corruption: Estimate,Botswana,2008,0.98775363,Southern
Control of Corruption: Estimate,Botswana,2009,0.919515193,Southern
Control of Corruption: Estimate,Botswana,2010,1.003334641,Southern
Control of Corruption: Estimate,Botswana,2011,0.979917467,Southern
Control of Corruption: Estimate,Botswana,2012,0.918630481,Southern
Control of Corruption: Estimate,Botswana,2013,0.91186446,Southern
Control of Corruption: Estimate,Botswana,2014,0.799274445,Southern
Control of Corruption: Estimate,Burkina Faso,1996,0.221323252,Western
Control of Corruption: Estimate,Burkina Faso,1998,-0.243102238,Western
Control of Corruption: Estimate,Burkina Faso,2000,-0.140602306,Western
Control of Corruption: Estimate,Burkina Faso,2002,-0.021676276,Western
Control of Corruption: Estimate,Burkina Faso,2003,-0.033451848,Western
Control of Corruption: Estimate,Burkina Faso,2004,-0.152619109,Western
Control of Corruption: Estimate,Burkina Faso,2005,-0.090967983,Western
Control of Corruption: Estimate,Burkina Faso,2006,-0.329226255,Western
Control of Corruption: Estimate,Burkina Faso,2007,-0.351358831,Western
Control of Corruption: Estimate,Burkina Faso,2008,-0.328134686,Western
Control of Corruption: Estimate,Burkina Faso,2009,-0.38107729,Western
Control of Corruption: Estimate,Burkina Faso,2010,-0.388622314,Western
Control of Corruption: Estimate,Burkina Faso,2011,-0.391554654,Western
Control of Corruption: Estimate,Burkina Faso,2012,-0.519974887,Western
Control of Corruption: Estimate,Burkina Faso,2013,-0.576052189,Western
Control of Corruption: Estimate,Burkina Faso,2014,-0.525002599,Western
Control of Corruption: Estimate,Burundi,1996,-1.388785481,Eastern
Control of Corruption: Estimate,Burundi,1998,-1.154359818,Eastern
Control of Corruption: Estimate,Burundi,2000,-1.0145576,Eastern
Control of Corruption: Estimate,Burundi,2002,-0.942692518,Eastern
Control of Corruption: Estimate,Burundi,2003,-1.047090173,Eastern
Control of Corruption: Estimate,Burundi,2004,-0.969913542,Eastern
Control of Corruption: Estimate,Burundi,2005,-0.899686992,Eastern
Control of Corruption: Estimate,Burundi,2006,-1.065673947,Eastern
Control of Corruption: Estimate,Burundi,2007,-1.116411567,Eastern
Control of Corruption: Estimate,Burundi,2008,-1.015800476,Eastern
Control of Corruption: Estimate,Burundi,2009,-1.067552328,Eastern
Control of Corruption: Estimate,Burundi,2010,-1.105630279,Eastern
Control of Corruption: Estimate,Burundi,2011,-1.122372031,Eastern
Control of Corruption: Estimate,Burundi,2012,-1.439089417,Eastern
Control of Corruption: Estimate,Burundi,2013,-1.366742492,Eastern
Control of Corruption: Estimate,Burundi,2014,-1.193353176,Eastern
Control of Corruption: Estimate,Cabo Verde,1996,null,Western
Control of Corruption: Estimate,Cabo Verde,1998,-0.317102939,Western
Control of Corruption: Estimate,Cabo Verde,2000,0.12748003,Western
Control of Corruption: Estimate,Cabo Verde,2002,0.384034425,Western
Control of Corruption: Estimate,Cabo Verde,2003,0.289174169,Western
Control of Corruption: Estimate,Cabo Verde,2004,0.271419466,Western
Control of Corruption: Estimate,Cabo Verde,2005,0.343925476,Western
Control of Corruption: Estimate,Cabo Verde,2006,0.633570433,Western
Control of Corruption: Estimate,Cabo Verde,2007,0.787132382,Western
Control of Corruption: Estimate,Cabo Verde,2008,0.777043223,Western
Control of Corruption: Estimate,Cabo Verde,2009,0.770491004,Western
Control of Corruption: Estimate,Cabo Verde,2010,0.797934651,Western
Control of Corruption: Estimate,Cabo Verde,2011,0.86149627,Western
Control of Corruption: Estimate,Cabo Verde,2012,0.788585424,Western
Control of Corruption: Estimate,Cabo Verde,2013,0.764068842,Western
Control of Corruption: Estimate,Cabo Verde,2014,0.903527021,Western
Control of Corruption: Estimate,Cameroon,1996,-1.15809834,Central
Control of Corruption: Estimate,Cameroon,1998,-1.040156722,Central
Control of Corruption: Estimate,Cameroon,2000,-1.057799578,Central
Control of Corruption: Estimate,Cameroon,2002,-1.086710215,Central
Control of Corruption: Estimate,Cameroon,2003,-0.86248064,Central
Control of Corruption: Estimate,Cameroon,2004,-1.07296145,Central
Control of Corruption: Estimate,Cameroon,2005,-1.160717607,Central
Control of Corruption: Estimate,Cameroon,2006,-1.026647329,Central
Control of Corruption: Estimate,Cameroon,2007,-0.95124805,Central
Control of Corruption: Estimate,Cameroon,2008,-0.943711281,Central
Control of Corruption: Estimate,Cameroon,2009,-0.922345638,Central
Control of Corruption: Estimate,Cameroon,2010,-0.984666526,Central
Control of Corruption: Estimate,Cameroon,2011,-1.076981068,Central
Control of Corruption: Estimate,Cameroon,2012,-1.267401338,Central
Control of Corruption: Estimate,Cameroon,2013,-1.194298983,Central
Control of Corruption: Estimate,Cameroon,2014,-1.153098464,Central
Control of Corruption: Estimate,Central African Republic,1996,-1.388785481,Central
Control of Corruption: Estimate,Central African Republic,1998,-0.997215629,Central
Control of Corruption: Estimate,Central African Republic,2000,-1.18768692,Central
Control of Corruption: Estimate,Central African Republic,2002,-1.10757494,Central
Control of Corruption: Estimate,Central African Republic,2003,-1.225060225,Central
Control of Corruption: Estimate,Central African Republic,2004,-1.325428724,Central
Control of Corruption: Estimate,Central African Republic,2005,-1.207323313,Central
Control of Corruption: Estimate,Central African Republic,2006,-0.99707514,Central
Control of Corruption: Estimate,Central African Republic,2007,-0.972397029,Central
