seriesName,seriesCode,countryName,countryCode,YR1996,YR1998,YR2000,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
Control of Corruption: Estimate,CC.EST,Angola,AGO,-1.15809834,-1.318856239,-1.516697884,-1.136933327,-1.303789735,-1.281113744,-1.331654906,-1.227777839,-1.320408344,-1.283269048,-1.417586088,-1.319217563,-1.337880015,-1.29587853,-1.325143218,-1.452597737
Control of Corruption: Estimate,CC.EST,Benin,BEN,-0.930731416,-0.59970516,-0.49276942,-0.792009234,-0.56892395,-0.493639767,-0.970942497,-0.616738021,-0.473546594,-0.53126967,-0.672711611,-0.737614274,-0.642196357,-0.932404459,-0.834388018,-0.780429363
Control of Corruption: Estimate,CC.EST,Botswana,BWA,0.585982561,0.705786228,0.66622442,0.606008172,1.24967134,0.879445016,1.141266823,0.895547032,0.941658497,0.98775363,0.919515193,1.003334641,0.979917467,0.918630481,0.91186446,0.799274445
Control of Corruption: Estimate,CC.EST,Burkina Faso,BFA,0.221323252,-0.243102238,-0.140602306,-0.021676276,-0.033451848,-0.152619109,-0.090967983,-0.329226255,-0.351358831,-0.328134686,-0.38107729,-0.388622314,-0.391554654,-0.519974887,-0.576052189,-0.525002599
Control of Corruption: Estimate,CC.EST,Burundi,BDI,-1.388785481,-1.154359818,-1.0145576,-0.942692518,-1.047090173,-0.969913542,-0.899686992,-1.065673947,-1.116411567,-1.015800476,-1.067552328,-1.105630279,-1.122372031,-1.439089417,-1.366742492,-1.193353176
Control of Corruption: Estimate,CC.EST,Cabo Verde,CPV,null,-0.317102939,0.12748003,0.384034425,0.289174169,0.271419466,0.343925476,0.633570433,0.787132382,0.777043223,0.770491004,0.797934651,0.86149627,0.788585424,0.764068842,0.903527021
Control of Corruption: Estimate,CC.EST,Cameroon,CMR,-1.15809834,-1.040156722,-1.057799578,-1.086710215,-0.86248064,-1.07296145,-1.160717607,-1.026647329,-0.95124805,-0.943711281,-0.922345638,-0.984666526,-1.076981068,-1.267401338,-1.194298983,-1.153098464
Control of Corruption: Estimate,CC.EST,Central African Republic,CAF,-1.388785481,-0.997215629,-1.18768692,-1.10757494,-1.225060225,-1.325428724,-1.207323313,-0.99707514,-0.972397029,-0.977801621,-0.907439768,-0.836116314,-0.843617558,-0.893970907,-1.041790485,-1.150226355
Control of Corruption: Estimate,CC.EST,Chad,TCD,-0.930731416,-0.941718161,-0.818540275,-0.942692518,-1.263405442,-1.281617284,-1.43051064,-1.267525792,-1.300601125,-1.446713805,-1.355536461,-1.335370302,-1.263045192,-1.251335263,-1.285287619,-1.234214544
Control of Corruption: Estimate,CC.EST,Comoros,COM,-0.930731416,-1.311455727,-1.123823524,-0.870549858,-0.83941406,-0.840120316,-0.825074196,-0.643387616,-0.652451873,-0.755275846,-0.783991337,-0.745625794,-0.708473384,-0.725815237,-0.728022933,-0.530485272
Control of Corruption: Estimate,CC.EST,"Congo, Dem. Rep.",ZAR,-2.057458401,-1.899546623,-1.566074491,-1.259880066,-1.406835556,-1.431121945,-1.428542256,-1.484902263,-1.307735085,-1.166881204,-1.363468051,-1.418076754,-1.396385789,-1.304381967,-1.298020959,-1.287079811
Control of Corruption: Estimate,CC.EST,"Congo, Rep.",COG,-1.105180144,-1.133586764,-0.960103393,-0.865494728,-0.936126769,-0.835360408,-1.016284704,-1.049339771,-1.094162583,-1.128976703,-1.175436378,-1.11496973,-1.07828331,-1.192247748,-1.187468529,-1.215709448
Control of Corruption: Estimate,CC.EST,Cote d'Ivoire,CIV,0.198116809,-0.303586245,-0.686767876,-0.816110909,-0.977763653,-1.216273069,-1.239615083,-1.182116151,-1.071813703,-1.087695718,-1.081907988,-1.137879729,-1.021499515,-0.856443822,-0.778041065,-0.413306653
