Series Name Series Code	Country Name	Country Code	1996 [YR1996]	1998 [YR1998]	2000 [YR2000]	2002 [YR2002]	2003 [YR2003]	2004 [YR2004]	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]
Voice and Accountability: Estimate	VA.EST	Angola	AGO	-1.64071643352508	-1.43520092964172	-1.4761803150177	-1.23699843883514	-1.2656352519989	-1.27574741840363	-1.23792850971222	-1.23635065555573	-1.16748058795929	-1.12588131427765	-1.13170802593231	-1.11885321140289	-1.12242424488068	-1.07131576538086	-1.12031197547913	-1.13775908946991
Voice and Accountability: Estimate	VA.EST	Benin	BEN	0.117397345602512	0.340619057416916	0.360479116439819	-0.00469442410394549	0.236438289284706	0.10026179254055	0.012576550245285	0.330746114253998	0.336236268281937	0.301525413990021	0.326503694057465	0.288788646459579	0.137502580881119	0.0936356782913208	0.116201959550381	0.234375268220901
Voice and Accountability: Estimate	VA.EST	Botswana	BWA	0.867696523666382	0.725043952465057	0.644347071647644	0.651375114917755	0.691309571266174	0.726399123668671	0.574014544487	0.48919215798378	0.482234001159668	0.484932661056519	0.421354830265045	0.442050665616989	0.396162211894989	0.502951562404633	0.471228420734406	0.440838545560837
Voice and Accountability: Estimate	VA.EST	Burkina Faso	BFA	-0.73232364654541	-0.574675500392914	-0.358566045761108	-0.47907355427742	-0.330611914396286	-0.454057931900024	-0.459601908922195	-0.373123496770859	-0.340762972831726	-0.320399850606918	-0.315414428710938	-0.277472734451294	-0.30504298210144	-0.335421949625015	-0.292298674583435	-0.412611752748489
Voice and Accountability: Estimate	VA.EST	Burundi	BDI	-1.75009453296661	-1.61188638210297	-1.63042998313904	-1.2246698141098	-1.23944807052612	-1.31452023983002	-0.638149678707123	-0.747572243213654	-0.737355947494507	-0.705432534217834	-0.709607541561127	-0.94341641664505	-0.925969362258911	-0.89136928319931	-0.95026969909668	-1.01893353462219
Voice and Accountability: Estimate	VA.EST	Cabo Verde	CPV	0.911774694919586	0.911470592021942	0.734826028347015	0.655744314193726	0.665767908096313	0.696582973003387	0.485791206359863	0.750108480453491	0.84264999628067	0.926055550575256	0.883378148078918	0.885580897331238	0.971258103847504	0.927961885929108	0.891266286373138	0.982739567756653
Voice and Accountability: Estimate	VA.EST	Cameroon	CMR	-0.974394083023071	-1.1372777223587	-1.14235138893127	-1.17300426959991	-1.11509728431702	-0.986239016056061	-1.01657915115356	-1.02525293827057	-1.0618222951889	-1.08471131324768	-1.06191754341125	-1.07973611354828	-1.04718387126923	-1.03072202205658	-1.04260516166687	-0.995940327644348
Voice and Accountability: Estimate	VA.EST	Central African Republic	CAF	-0.986942291259766	-0.754804372787476	-0.707308113574982	-1.07831311225891	-1.30156278610229	-1.30435645580292	-0.946479141712189	-1.01288986206055	-1.07841610908508	-1.01349699497223	-1.00636911392212	-1.12345957756042	-1.10778427124023	-1.26390159130096	-1.528764128685	-1.42345666885376
Voice and Accountability: Estimate	VA.EST	Chad	TCD	-1.07790851593018	-1.05081140995026	-1.03299140930176	-0.966462790966034	-1.09947061538696	-1.19502222537994	-1.25966799259186	-1.42901277542114	-1.46489441394806	-1.46188008785248	-1.41956055164337	-1.37058401107788	-1.36423850059509	-1.34605896472931	-1.3838951587677	-1.32722675800323
Voice and Accountability: Estimate	VA.EST	Comoros	COM	-0.584515810012817	-0.523817181587219	-1.1568044424057	-0.427899599075317	-0.570307493209839	-0.550086498260498	-0.630314409732819	-0.295676440000534	-0.478799551725388	-0.362624704837799	-0.380141973495483	-0.471446871757507	-0.427686482667923	-0.519924283027649	-0.517402231693268	-0.332876086235046
Voice and Accountability: Estimate	VA.EST	Congo, Dem. Rep.	ZAR	-1.67768478393555	-1.87997102737427	-1.83890545368195	-1.66498994827271	-1.61400377750397	-1.72505867481232	-1.55234444141388	-1.2814656496048	-1.25859689712524	-1.4471400976181	-1.44744229316711	-1.44467222690582	-1.51575720310211	-1.50882041454315	-1.46742498874664	-1.31235980987549
Voice and Accountability: Estimate	VA.EST	Congo, Rep.	COG	-1.02166390419006	-1.59006893634796	-1.51247406005859	-0.919016242027283	-0.780647754669189	-0.949948668479919	-1.07910823822021	-1.22501790523529	-1.2499908208847	-1.1645679473877	-1.09940350055695	-1.05759513378143	-1.10467755794525	-1.15200364589691	-1.1248300075531	-1.07830429077148
Voice and Accountability: Estimate	VA.EST	Cote d'Ivoire	CIV	-0.643067061901093	-0.734830737113953	-1.104163646698	-1.19855964183807	-1.25493538379669	-1.30286312103271	-1.37928295135498	-1.3658903837204	-1.28322732448578	-1.24436736106873	-1.11119031906128	-1.09663569927216	-1.12926936149597	-0.81429123878479	-0.770473778247833	-0.523131012916565
