Country Name	PR	CL	Status	Status Full	Lat	Lng	Size	Pop
Afghanistan	6	6	NF	Not Free	33.93911	67.709953	652860	32526562
Albania	3	3	PF	Partly Free	41.153332	20.168331	28750	2889167
Algeria	6	5	NF	Not Free	28.033886	1.659626	2381740	39666519
Andorra	1	1	F	Free	42.546245	1.601554	470	70473
Angola	6	6	NF	Not Free	-11.202692	17.873887	1246700	25021974
Antigua & Barbuda	2	2	F	Free	17.0608	-61.7964	440	25021974
Argentina	2	2	F	Free	-38.416097	-63.616672	2780400	43416755
Armenia	5	4	PF	Partly Free	40.069099	45.038189	29740	3017712
Australia	1	1	F	Free	-25.274398	133.775136	7741220	23781169
Austria	1	1	F	Free	47.516231	14.550072	83879	8611088
Azerbaijan	7	6	NF	Not Free	40.143105	47.576927	86600	9651349
Bahamas	1	1	F	Free	25.03428	-77.39628	13880	9651349
Bahrain	7	6	NF	Not Free	25.930414	50.637772	770	1377237
Bangladesh	4	4	PF	Partly Free	23.684994	90.356331	148460	160995642
Barbados	1	1	F	Free	13.193887	-59.543198	430	284215
Belarus	7	6	NF	Not Free	53.709807	27.953389	207600	9513000
Belgium	1	1	F	Free	50.503887	4.469936	30530	11285721
Belize	1	2	F	Free	17.189877	-88.49765	22970	359287
Benin	2	2	F	Free	9.30769	2.315834	114760	10879829
Bhutan	3	4	PF	Partly Free	27.514162	90.433601	38394	774830
Bolivia	3	3	PF	Partly Free	-16.290154	-63.588653	1098580	10724705
Bosnia-Herzegovina	4	3	PF	Partly Free	43.915886	17.679076	51210	3810416
Botswana	3	2	F	Free	-22.328474	24.684866	581730	2262485
Brazil	2	2	F	Free	-14.235004	-51.92528	8515770	207847528
Brunei	6	5	NF	Not Free	4.535277	114.727669	150	30117
Bulgaria	2	2	F	Free	42.733883	25.48583	111000	7177991
Burkina Faso	4	3	PF	Partly Free	12.238333	-1.561593	274220	18105570
Burundi	7	6	NF	Not Free	-3.373056	29.918886	27830	11178921
Cambodia	6	5	NF	Not Free	12.565679	104.990963	181040	15577899
Cameroon	6	6	NF	Not Free	7.369722	12.354722	475440	23344179
Canada	1	1	F	Free	56.130366	-106.346771	9984670	35851774
Cape Verde	1	1	F	Free	16.002082	-24.013197	4030	35851774
Central African Republic	7	7	NF	Not Free	6.611111	20.939444	622980	4900274
Chad	7	6	NF	Not Free	15.454166	18.732207	1284000	14037472
Chile	1	1	F	Free	-35.675147	-71.542969	756096	17948141
China	7	6	NF	Not Free	35.86166	104.195397	9562911	1371220000
Colombia	3	4	PF	Partly Free	4.570868	-74.297333	1141749	48228704
Comoros	3	4	PF	Partly Free	-11.875001	43.872219	1861	788474
Congo (Brazzaville)	6	5	NF	Not Free	-11.875001	43.872219	2344860	788474
Congo (Kinshasa)	6	6	NF	Not Free	-11.875001	43.872219	342000	788474
Costa Rica	1	1	F	Free	9.748917	-83.753428	51100	4807850
Cote d'Ivoire	4	4	PF	Partly Free	9.748917	-83.753428	322460	22701556
Croatia	1	2	F	Free	45.1	15.2	56590	4224404
Cuba	7	6	NF	Not Free	21.521757	-77.781167	109880	11389562
Cyprus	1	1	F	Free	35.126413	33.429859	9250	1165300
Czech Republic	1	1	F	Free	49.817492	15.472962	78870	10551219
Denmark	1	1	F	Free	56.26392	9.501785	43090	5676002
Djibouti	6	5	NF	Not Free	11.825138	42.590275	23200	887861
Dominica	1	1	F	Free	15.414999	-61.370976	750	72680
Dominican Republic	3	3	PF	Partly Free	18.735693	-70.162651	48670	10528391
East Timor	3	3	PF	Partly Free	18.735693	-70.162651	14870	2009929013
Ecuador	3	3	PF	Partly Free	-1.831239	-78.183406	256370	16144363
Egypt	6	5	NF	Not Free	26.820553	30.802498	1001450	16144363
El Salvador	2	3	F	Free	13.794185	-88.89653	21040	6126583
Equatorial Guinea	7	7	NF	Not Free	1.650801	10.267895	28050	845060
Eritrea	7	7	NF	Not Free	15.179384	39.782334	117600	6330000
Estonia	1	1	F	Free	58.595272	25.013607	45230	1311998
Ethiopia	7	6	NF	Not Free	9.145	40.489673	1104300	99390750
Fiji	3	3	PF	Partly Free	-16.578193	179.414413	18270	892145
Finland	1	1	F	Free	61.92411	25.748151	338420	5482013
France	1	1	F	Free	46.227638	2.213749	549087	66808385
Gabon	6	5	NF	Not Free	-0.803689	11.609444	267670	1725292
Gambia, The	7	6	NF	Not Free	13.443182	-15.310139	11300	1990924
Georgia	3	3	PF	Partly Free	42.315407	43.356892	69700	3679000
Germany	1	1	F	Free	51.165691	10.451526	357170	81413145
Ghana	1	2	F	Free	7.946527	-1.023194	238540	27409893
Greece	2	2	F	Free	39.074208	21.824312	131960	10823732
Grenada	1	2	F	Free	12.262776	-61.604171	340	106825
Guatemala	4	4	PF	Partly Free	15.783471	-90.230759	108890	16342897
Guinea	5	5	PF	Partly Free	9.945587	-9.696645	245860	12608590
Guinea-Bissau	5	5	PF	Partly Free	11.803749	-15.180413	36130	1844325
Guyana	2	3	F	Free	4.860416	-58.93018	214970	767085
Haiti	5	5	PF	Partly Free	18.971187	-72.285215	27750	10711067
Honduras	4	4	PF	Partly Free	15.199999	-86.241905	112490	8075060
Hungary	2	2	F	Free	47.162494	19.503304	93030	9844686
Iceland	1	1	F	Free	64.963051	-19.020835	103000	330823
India	2	3	F	Free	20.593684	78.96288	3287260	1311050527
Indonesia	2	4	PF	Partly Free	-0.789275	113.921327	1910930	257563815
Iran	6	6	NF	Not Free	32.427908	53.688046	1745150	257563815
Iraq	5	6	NF	Not Free	33.223191	43.679291	435240	36423395
Ireland	1	1	F	Free	53.41291	-8.24389	70280	4640703
Israel	1	2	F	Free	31.046051	34.851612	22070	8380400
Italy	1	1	F	Free	41.87194	12.56738	301340	60802085
Jamaica	2	3	F	Free	18.109581	-77.297508	10990	2725941
Japan	1	1	F	Free	36.204824	138.252924	377962	126958472
Jordan	6	5	NF	Not Free	30.585164	36.238414	89320	7594547
Kazakhstan	6	5	NF	Not Free	48.019573	66.923684	2724902	17544126
Kenya	4	4	PF	Partly Free	-0.023559	37.906193	580370	46050302
Kiribati	1	1	F	Free	-3.370417	-168.734039	810	112423
Kosovo	3	4	PF	Partly Free	42.602636	20.902977	10887	1797151
Kuwait	5	5	PF	Partly Free	29.31166	47.481766	17820	3892115
Kyrgyzstan	5	5	PF	Partly Free	41.20438	74.766098	199949	5957000
Laos	7	6	NF	Not Free	19.85627	102.495496	236800	6802023
Latvia	2	2	F	Free	56.879635	24.603189	64490	1978440
Lebanon	5	4	PF	Partly Free	33.854721	35.862285	10450	5850743
Lesotho	3	3	PF	Partly Free	-29.609988	28.233608	30360	2135022
Liberia	3	4	PF	Partly Free	6.428055	-9.429499	111370	4503438
Libya	6	6	NF	Not Free	26.3351	17.228331	1759540	6278438
Liechtenstein	1	1	F	Free	47.166	9.555373	160	37531
Lithuania	1	1	F	Free	55.169438	23.881275	65300	2910199
Luxembourg	1	1	F	Free	49.815273	6.129583	2590	569676
Macedonia	4	3	PF	Partly Free	22.198745	113.543873	30.3	587606
Madagascar	3	4	PF	Partly Free	-18.766947	46.869107	587295	24235390
Malawi	3	3	PF	Partly Free	-13.254308	34.301525	118480	17215232
Malaysia	4	4	PF	Partly Free	4.210484	101.975766	330800	30331007
Maldives	4	5	PF	Partly Free	3.202778	73.22068	300	409163
Mali	5	4	PF	Partly Free	17.570692	-3.996166	1240190	17599694
Malta	1	1	F	Free	35.937496	14.375416	320	431333
Marshall Islands	1	1	F	Free	7.131474	171.184478	180	52993
Mauritania	6	5	NF	Not Free	21.00789	-10.940835	1030700	4067564
Mauritius	1	2	F	Free	-20.348404	57.552152	2040	1262605
Mexico	3	3	PF	Partly Free	23.634501	-102.552784	1964380	127017224
Micronesia	1	1	F	Free	7.425554	150.550812	700	127017224
Moldova	3	3	PF	Partly Free	47.411631	28.369885	33850	3554150
Monaco	2	1	F	Free	43.750298	7.412841	2	37731
Mongolia	1	2	F	Free	46.862496	103.846656	1564120	2959134
Montenegro	3	3	PF	Partly Free	42.708678	19.37439	13810	622388
Morocco	5	4	PF	Partly Free	31.791702	-7.09262	446550	34377511
Mozambique	4	4	PF	Partly Free	-18.665695	35.529562	799380	27977863
Myanmar	6	5	NF	Not Free	-18.665695	35.529562	676590	53897154
Namibia	2	2	F	Free	-22.95764	18.49041	824290	2458830
Nauru	2	2	F	Free	-0.522778	166.931503	20	10222
Nepal	3	4	PF	Partly Free	28.394857	84.124008	147180	28513700
Netherlands	1	1	F	Free	52.132633	5.291266	41500	16936520
New Zealand	1	1	F	Free	-40.900557	174.885971	267710	4595700
Nicaragua	4	3	PF	Partly Free	12.865416	-85.207229	130370	6082032
Niger	3	4	PF	Partly Free	17.607789	8.081666	1267000	19899120
Nigeria	4	5	PF	Partly Free	9.081999	8.675277	923770	182201962
North Korea	7	7	NF	Not Free	40.339852	127.510093	120540	357335829
Norway	1	1	F	Free	60.472024	8.468946	385178	5195921
Oman	6	5	NF	Not Free	21.512583	55.923255	309500	4490541
Pakistan	4	5	PF	Partly Free	30.375321	69.345116	796100	188924874
Palau	1	1	F	Free	7.51498	134.58252	460	21291
Panama	2	2	F	Free	8.537981	-80.782127	75420	3929141
Papua New Guinea	4	3	PF	Partly Free	-6.314993	143.95555	462840	7619321
Paraguay	3	3	PF	Partly Free	-23.442503	-58.443832	406752	6639123
Peru	2	3	F	Free	-9.189967	-75.015152	1285220	31376670
Philippines	3	3	PF	Partly Free	12.879721	121.774017	300000	100699395
Poland	1	1	F	Free	51.919438	19.145136	312680	37999494
Portugal	1	1	F	Free	39.399872	-8.224454	92220	10348648
Qatar	6	5	NF	Not Free	25.354826	51.183884	11610	2235355
Romania	2	2	F	Free	45.943161	24.96676	238390	19832389
Russia	6	6	NF	Not Free	61.52401	105.318756	17098250	19832389
Rwanda	6	6	NF	Not Free	-1.940278	29.873888	26340	11609666
Saint Kitts and Nevis	2	1	F	Free	17.357822	-62.782998	260	11609666
Saint Lucia	1	1	F	Free	13.909444	-60.978893	620	11609666
Saint Vincent & Grenadines	1	1	F	Free	12.9843	-61.2872	390	11609666
Samoa	2	2	F	Free	-13.759029	-172.104629	2840	193228
San Marino	1	1	F	Free	43.94236	12.457777	60	31781
Sao Tome & Principe	2	2	F	Free	43.94236	12.457777	960	31781
Saudi Arabia	7	7	NF	Not Free	23.885942	45.079162	2149690	31540372
Senegal	2	2	F	Free	14.497401	-14.452362	196710	15129273
Serbia	2	2	F	Free	44.016521	21.005859	88360	7098247
Seychelles	3	3	PF	Partly Free	-4.679574	55.491977	455	92900
Sierra Leone	3	3	PF	Partly Free	8.460555	-11.779889	72300	6453184
Singapore	4	4	PF	Partly Free	1.352083	103.819836	717	5535002
Slovakia	1	1	F	Free	48.669026	19.699024	49036	5424050
Slovenia	1	1	F	Free	46.151241	14.995463	20270	2063768
Solomon Islands	3	3	PF	Partly Free	-9.64571	160.156194	28900	583591
Somalia	7	7	NF	Not Free	5.152149	46.199616	637660	10787104
South Africa	2	2	F	Free	-30.559482	22.937506	1219090	54956920
South Korea	2	2	F	Free	35.907757	127.766922	100266	1744161298
South Sudan	7	6	NF	Not Free	35.907757	127.766922	644330	12339812
Spain	1	1	F	Free	40.463667	-3.74922	505940	46418269
Sri Lanka	4	4	PF	Partly Free	7.873054	80.771797	65610	20966000
Sudan	7	7	NF	Not Free	12.862807	30.217636	1879357.5	40234882
Suriname	2	3	F	Free	3.919305	-56.027783	163820	542975
Swaziland	7	5	NF	Not Free	-26.522503	31.465866	17360	1286970
Sweden	1	1	F	Free	60.128161	18.643501	447420	9798871
Switzerland	1	1	F	Free	46.818188	8.227512	41285	8286976
Syria	7	7	NF	Not Free	34.802075	38.996815	185180	8286976
Taiwan	1	2	F	Free	23.69781	120.960515	36193	18502413
Tajikistan	7	6	NF	Not Free	38.861034	71.276093	142550	8481855
Tanzania	3	4	PF	Partly Free	-6.369028	34.888822	947300	53470420
Thailand	6	5	NF	Not Free	15.870032	100.992541	513120	67959359
Togo	4	4	PF	Partly Free	8.619543	0.824782	56790	7304578
Tonga	2	2	F	Free	39.6901	20.0059	750	106170
Trinidad & Tobago	2	2	F	Free	10.6918	-61.2225	5130	106170
Tunisia	1	3	F	Free	33.886917	9.537499	163610	11107800
Turkey	3	4	PF	Partly Free	38.963745	35.243322	783560	78665830
Turkmenistan	7	7	NF	Not Free	38.969719	59.556278	488100	5373502
Tuvalu	1	1	F	Free	-7.109535	177.64933	30	9916
Uganda	6	5	NF	Not Free	1.373333	32.290275	241550	39032383
Ukraine	3	3	PF	Partly Free	48.379433	31.16558	603550	45198200
United Arab Emirates	6	6	NF	Not Free	23.424076	53.847818	83600	9156963
United Kingdom	1	1	F	Free	55.378051	-3.435973	243610	65138232
United States	1	1	F	Free	37.09024	-95.712891	9831510	321418820
Uruguay	1	1	F	Free	-32.522779	-55.765835	176220	3431555
Uzbekistan	7	7	NF	Not Free	41.377491	64.585262	447400	31299500
Vanuatu	2	2	F	Free	-15.376706	166.959158	12190	264652
Venezuela	5	5	PF	Partly Free	6.42375	-66.58973	912050	264652
Vietnam	7	5	NF	Not Free	14.058324	108.277199	330972	91703800
Yemen	7	6	NF	Not Free	15.552727	48.516388	6020	7346633037
Zambia	3	4	PF	Partly Free	-13.133897	27.849332	752610	16211767
Zimbabwe	5	5	PF	Partly Free	-19.015438	29.154857	390760	15602751
